il,yil,tarim,sanayi,hizmetler,sektör toplam,vergi-sübvansiyon,gdp
,2011,     197 267,     138 194,     793 377,    1 128 837,     154 397,    1 283 234
,2012,     214 289,     196 713,     913 846,    1 324 848,     176 204,    1 501 052
,2013,     220 170,     255 907,    1 025 047,    1 501 123,     212 470,    1 713 593
,2014,     229 808,     290 264,    1 175 755,    1 695 828,     221 594,    1 917 421
,2015,     282 761,     306 962,    1 293 757,    1 883 480,     254 016,    2 137 496
,2016,     304 041,     318 224,    1 499 299,    2 121 563,     285 745,    2 407 308
,2017,     364 917,     346 705,    1 757 914,    2 469 537,     317 497,    2 787 034
,,,,,,,
Van,2004,     365 131,     279 467,    1 635 673,    2 280 271,     329 046,    2 609 317
,2005,     504 863,     351 194,    1 911 153,    2 767 210,     401 657,    3 168 867
,2006,     490 802,     448 948,    2 251 543,    3 191 293,     457 589,    3 648 882
,2007,     493 612,     558 844,    2 599 845,    3 652 300,     469 045,    4 121 346
,2008,     582 781,     657 880,    2 986 690,    4 227 351,     520 968,    4 748 319
,2009,     687 878,     568 977,    3 120 818,    4 377 674,     531 116,    4 908 789
,2010,    1 069 187,     762 996,    3 319 064,    5 151 246,     707 618,    5 858 864
,2011,    1 071 496,    1 077 343,    3 988 613,    6 137 452,     839 450,    6 976 902
,2012,    1 306 529,    1 737 435,    4 633 389,    7 677 353,    1 021 085,    8 698 438
,2013,    1 157 761,    2 278 843,    5 188 569,    8 625 174,    1 220 813,    9 845 987
,2014,    1 150 266,    2 619 988,    5 679 825,    9 450 079,    1 234 840,    10 684 919
,2015,    1 428 675,    2 285 040,    6 426 022,    10 139 737,    1 367 499,    11 507 236
,2016,    2 124 312,    2 214 368,    7 642 277,    11 980 957,    1 613 668,    13 594 625
,2017,    2 476 064,    2 377 525,    8 914 481,    13 768 071,    1 770 100,    15 538 170
,,,,,,,
Mus,2004,     388 837,     133 767,     656 123,    1 178 728,     170 092,    1 348 819
,2005,     477 672,     152 875,     773 499,    1 404 046,     203 796,    1 607 842
,2006,     458 720,     192 020,     913 674,    1 564 415,     224 316,    1 788 731
,2007,     436 205,     230 966,    1 051 049,    1 718 220,     220 662,    1 938 882
,2008,     486 576,     252 027,    1 213 285,    1 951 889,     240 546,    2 192 434
,2009,     613 339,     232 509,    1 254 325,    2 100 173,     254 801,    2 354 974
,2010,     962 949,     302 479,    1 305 892,    2 571 320,     353 218,    2 924 538
,2011,    1 026 907,     389 215,    1 654 797,    3 070 920,     420 025,    3 490 945
,2012,    1 173 223,     533 170,    1 902 366,    3 608 759,     479 963,    4 088 722
,2013,    1 040 913,     744 922,    2 173 175,    3 959 011,     560 361,    4 519 372
,2014,    1 211 724,     812 882,    2 250 041,    4 274 647,     558 567,    4 833 214
,2015,    1 431 035,     730 709,    2 519 075,    4 680 819,     631 280,    5 312 100
,2016,    1 479 621,     760 849,    2 877 746,    5 118 216,     689 352,    5 807 569
,2017,    1 788 319,     774 326,    3 233 701,    5 796 346,     745 210,    6 541 556
,,,,,,,
Bitlis,2004,     175 161,     117 578,     557 211,     849 951,     122 649,     972 600
,2005,     208 673,     137 712,     647 302,     993 687,     144 233,    1 137 920
,2006,     219 584,     191 333,     757 349,    1 168 266,     167 514,    1 335 779
,2007,     246 494,     247 716,     870 475,    1 364 685,     175 259,    1 539 944
,2008,     239 377,     301 641,     981 800,    1 522 818,     187 668,    1 710 487
,2009,     261 291,     227 459,    1 054 658,    1 543 408,     187 252,    1 730 660
,2010,     368 103,     300 163,    1 136 692,    1 804 958,     247 944,    2 052 902
,2011,     476 154,     374 658,    1 385 802,    2 236 614,     305 913,    2 542 527
,2012,     529 115,     571 953,    1 600 854,    2 701 922,     359 355,    3 061 277
,2013,     595 709,     839 365,    1 797 770,    3 232 844,     457 579,    3 690 423
,2014,     639 155,     977 903,    1 985 388,    3 602 446,     470 731,    4 073 177
,2015,     817 310,     914 704,    2 202 291,    3 934 305,     530 602,    4 464 907
,2016,     788 719,     885 003,    2 575 135,    4 248 857,     572 262,    4 821 119
,2017,     874 593,     896 268,    2 928 281,    4 699 141,     604 148,    5 303 289
,,,,,,,
Hakkari,2004,     150 338,     80 000,     545 509,     775 847,     111 956,     887 802
,2005,     182 033,     87 309,     620 592,     889 934,     129 173,    1 019 107
,2006,     202 438,     124 509,     712 809,    1 039 756,     149 087,    1 188 843
,2007,     272 393,     130 011,     813 792,    1 216 196,     156 190,    1 372 386
,2008,     277 653,     156 287,     929 473,    1 363 413,     168 024,    1 531 437
,2009,     281 116,     122 856,     998 574,    1 402 547,     170 162,    1 572 709
,2010,     328 166,     161 362,    1 083 308,    1 572 836,     216 058,    1 788 894
,2011,     321 170,     201 778,    1 295 154,    1 818 102,     248 671,    2 066 773
,2012,     406 110,     299 576,    1 527 137,    2 232 823,     296 965,    2 529 788
,2013,     355 054,     425 187,    1 737 514,    2 517 756,     356 365,    2 874 121
,2014,     354 596,     502 921,    1 974 848,    2 832 365,     370 105,    3 202 470
,2015,     427 840,     482 946,    2 230 570,    3 141 357,     423 660,    3 565 017
,2016,     451 152,     454 243,    2 729 743,    3 635 138,     489 602,    4 124 741
,2017,     510 848,     601 217,    3 175 866,    4 287 932,     551 280,    4 839 212
,,,,,,,
Gaziantep,2004,     493 081,    3 296 290,    3 683 764,    7 473 135,    1 078 381,    8 551 516
,2005,     714 443,    3 581 154,    4 301 679,    8 597 277,    1 247 885,    9 845 162
,2006,     888 092,    4 079 926,    5 216 520,    10 184 538,    1 460 327,    11 644 865
,2007,     799 973,    4 473 606,    5 909 421,    11 183 000,    1 436 173,    12 619 173
,2008,     804 515,    4 959 611,    6 803 891,    12 568 017,    1 548 850,    14 116 867
,2009,     832 733,    4 917 112,    6 875 772,    12 625 617,    1 531 787,    14 157 403
,2010,    1 313 503,    5 966 355,    7 463 514,    14 743 372,    2 025 273,    16 768 645
,2011,    1 319 666,    8 092 879,    8 859 547,    18 272 092,    2 499 165,    20 771 257
,2012,    1 607 874,    9 150 505,    10 277 892,    21 036 271,    2 797 816,    23 834 087
,2013,    1 389 824,    11 783 086,    12 719 505,    25 892 414,    3 664 830,    29 557 244
,2014,    1 413 866,    14 562 870,    15 046 478,    31 023 213,    4 053 799,    35 077 012
,2015,    2 550 012,    16 675 286,    17 360 229,    36 585 527,    4 934 121,    41 519 648
,2016,    2 393 404,    18 560 237,    19 992 963,    40 946 603,    5 514 936,    46 461 540
,2017,    2 306 423,    23 365 916,    23 579 104,    49 251 443,    6 332 039,    55 583 482
,,,,,,,
Adiyaman,2004,     341 043,     529 536,    1 011 962,    1 882 541,     271 653,    2 154 194
,2005,     437 679,     571 394,    1 179 450,    2 188 522,     317 661,    2 506 184
,2006,     418 089,     661 870,    1 458 417,    2 538 376,     363 969,    2 902 346
,2007,     431 280,     739 589,    1 664 735,    2 835 604,     364 161,    3 199 766
,2008,     436 086,     923 809,    1 916 033,    3 275 927,     403 717,    3 679 644
,2009,     480 189,     810 310,    1 944 950,    3 235 448,     392 537,    3 627 985
,2010,     688 186,    1 057 309,    2 047 003,    3 792 498,     520 969,    4 313 467
,2011,     827 220,    1 331 509,    2 352 373,    4 511 102,     617 006,    5 128 108
,2012,     834 382,    1 504 074,    2 669 726,    5 008 181,     666 086,    5 674 267
,2013,     902 677,    1 935 846,    3 170 100,    6 008 622,     850 464,    6 859 086
,2014,    1 024 042,    2 460 419,    3 675 791,    7 160 252,     935 629,    8 095 882
,2015,    1 204 526,    2 582 431,    4 125 111,    7 912 068,    1 067 064,    8 979 132
,2016,    1 323 530,    2 632 866,    4 758 068,    8 714 464,    1 173 717,    9 888 180
,2017,    1 548 316,    3 120 533,    5 488 228,    10 157 077,    1 305 850,    11 462 927
,,,,,,,
Kilis,2004,     135 294,     41 907,     230 112,     407 313,     58 776,     466 088
,2005,     216 132,     53 147,     268 748,     538 028,     78 094,     616 122
,2006,     196 372,     59 446,     334 034,     589 852,     84 577,     674 428
,2007,     226 359,     70 261,     377 475,     674 094,     86 570,     760 665
,2008,     186 270,     80 751,     434 215,     701 236,     86 419,     787 654
,2009,     260 919,     72 829,     455 590,     789 339,     95 766,     885 104
,2010,     365 300,     94 010,     486 536,     945 846,     129 929,    1 075 775
,2011,     258 813,     132 795,     557 628,     949 235,     129 832,    1 079 067
,2012,     298 757,     159 670,     646 502,    1 104 929,     146 955,    1 251 884
,2013,     448 922,     216 083,     776 129,    1 441 133,     203 979,    1 645 112
,2014,     367 712,     266 700,     918 911,    1 553 323,     202 972,    1 756 295
,2015,     601 236,     320 550,    1 077 287,    1 999 073,     269 606,    2 268 679
,2016,     503 666,     353 610,    1 283 214,    2 140 491,     288 294,    2 428 785
,2017,     633 885,     439 649,    1 537 899,    2 611 432,     335 740,    2 947 172
,,,,,,,
Sanliurfa,2004,    1 552 881,     639 400,    2 106 949,    4 299 230,     620 384,    4 919 614
,2005,    1 759 731,     745 756,    2 429 324,    4 934 811,     716 282,    5 651 093
,2006,    1 889 553,     937 461,    2 849 231,    5 676 246,     813 898,    6 490 144
,2007,    1 872 399,    1 104 536,    3 239 814,    6 216 750,     798 384,    7 015 133
,2008,    2 066 358,    1 302 952,    3 706 501,    7 075 811,     872 005,    7 947 815
,2009,    2 447 013,    1 159 322,    3 652 457,    7 258 792,     880 664,    8 139 456
,2010,    3 690 130,    1 495 280,    4 123 871,    9 309 280,    1 278 800,    10 588 081
,2011,    4 055 185,    1 887 976,    4 865 735,    10 808 896,    1 478 386,    12 287 282
,2012,    4 130 537,    2 316 523,    5 780 213,    12 227 274,    1 626 223,    13 853 496
,2013,    4 204 974,    2 903 499,    6 692 906,    13 801 379,    1 953 457,    15 754 835
,2014,    4 169 650,    3 462 304,    8 132 599,    15 764 553,    2 059 952,    17 824 505
,2015,    5 053 169,    3 955 192,    9 528 640,    18 537 001,    2 500 000,    21 037 001
,2016,    4 861 256,    4 461 253,    11 217 694,    20 540 203,    2 766 479,    23 306 682
,2017,    6 068 759,    5 403 259,    13 202 914,    24 674 932,    3 172 346,    27 847 279
,,,,,,,
Diyarbakir,2004,    1 221 126,     862 422,    2 938 783,    5 022 332,     724 728,    5 747 060
,2005,    1 229 645,    1 061 623,    3 324 543,    5 615 811,     815 128,    6 430 940
,2006,    1 268 699,    1 441 008,    3 950 087,    6 659 794,     954 925,    7 614 719
,2007,    1 356 525,    1 621 643,    4 467 562,    7 445 730,     956 215,    8 401 945
,2008,    1 107 462,    1 963 270,    5 093 193,    8 163 924,    1 006 101,    9 170 025
,2009,    1 486 057,    1 719 338,    5 371 860,    8 577 255,    1 040 624,    9 617 880
,2010,    1 881 890,    2 223 656,    6 018 508,    10 124 054,    1 390 725,    11 514 779
,2011,    2 318 269,    2 910 032,    6 999 273,    12 227 574,    1 672 426,    13 900 000
,2012,    2 245 746,    3 599 626,    8 202 459,    14 047 830,    1 868 356,    15 916 186
,2013,    2 460 378,    4 355 704,    9 289 597,    16 105 679,    2 279 609,    18 385 288
,2014,    2 572 118,    4 729 680,    11 051 616,    18 353 413,    2 398 238,    20 751 651
,2015,    2 909 092,    5 284 288,    12 544 210,    20 737 589,    2 796 783,    23 534 372
,2016,    3 222 132,    5 625 684,    14 335 216,    23 183 033,    3 122 431,    26 305 464
,2017,    4 392 918,    6 534 223,    16 347 360,    27 274 501,    3 506 561,    30 781 062
,,,,,,,
Mardin,2004,     548 949,     305 818,    1 284 710,    2 139 476,     308 729,    2 448 205
,2005,     586 938,     387 602,    1 526 171,    2 500 711,     362 975,    2 863 687
,2006,     649 504,     512 220,    1 830 214,    2 991 938,     429 004,    3 420 942
,2007,     656 310,     584 035,    2 077 580,    3 317 925,     426 103,    3 744 028
,2008,     678 041,     644 212,    2 418 539,    3 740 792,     461 006,    4 201 798
,2009,     829 969,     590 916,    2 500 926,    3 921 812,     475 809,    4 397 620
,2010,    1 390 314,     750 001,    2 837 361,    4 977 675,     683 775,    5 661 450
,2011,    1 525 665,    1 029 436,    3 337 079,    5 892 180,     805 903,    6 698 083
,2012,    1 626 498,    1 086 963,    4 288 962,    7 002 423,     931 319,    7 933 742
,2013,    1 729 648,    1 313 030,    4 994 715,    8 037 392,    1 137 618,    9 175 011
,2014,    1 849 322,    1 545 603,    5 821 505,    9 216 430,    1 204 310,    10 420 739
,2015,    2 134 056,    1 789 534,    6 735 931,    10 659 520,    1 437 600,    12 097 121
,2016,    2 122 285,    1 957 496,    7 623 188,    11 702 969,    1 576 227,    13 279 195
,2017,    2 508 094,    2 521 486,    9 028 180,    14 057 760,    1 807 344,    15 865 104
,,,,,,,
Batman,2004,     204 556,     633 566,     732 011,    1 570 132,     226 572,    1 796 704
,2005,     239 807,     719 297,     887 539,    1 846 643,     268 038,    2 114 681
,2006,     247 537,     898 626,    1 038 692,    2 184 855,     313 279,    2 498 134
,2007,     230 681,     957 631,    1 187 421,    2 375 733,     305 103,    2 680 836
,2008,     192 177,    1 273 601,    1 367 913,    2 833 691,     349 217,    3 182 908
,2009,     286 613,    1 040 001,    1 476 374,    2 802 988,     340 069,    3 143 057
,2010,     516 815,    1 320 154,    1 704 428,    3 541 396,     486 476,    4 027 872
,2011,     573 859,    1 687 321,    2 027 817,    4 288 997,     586 627,    4 875 624
,2012,     605 886,    1 661 392,    2 434 044,    4 701 322,     625 274,    5 326 596
,2013,     656 503,    1 789 096,    2 732 578,    5 178 177,     732 923,    5 911 099
,2014,     705 190,    1 910 901,    3 147 914,    5 764 005,     753 182,    6 517 186
,2015,     750 995,    1 933 015,    3 544 366,    6 228 376,     839 992,    7 068 369
,2016,     785 924,    2 090 085,    4 186 143,    7 062 152,     951 173,    8 013 325
,2017,     933 776,    2 874 767,    4 914 813,    8 723 355,    1 121 523,    9 844 878
,,,,,,,
Sirnak,2004,     171 194,     128 035,     927 235,    1 226 463,     176 980,    1 403 443
,2005,     154 681,     165 091,    1 069 244,    1 389 016,     201 614,    1 590 630
,2006,     151 715,     208 462,    1 287 657,    1 647 834,     236 277,    1 884 111
,2007,     189 610,     245 760,    1 458 572,    1 893 942,     243 229,    2 137 171
,2008,     149 426,     300 936,    1 685 330,    2 135 692,     263 197,    2 398 889
,2009,     273 771,     290 331,    1 753 486,    2 317 587,     281 178,    2 598 766
,2010,     328 795,     364 162,    1 966 601,    2 659 558,     365 339,    3 024 898
,2011,     362 628,     474 720,    2 390 810,    3 228 158,     441 531,    3 669 689
,2012,     378 515,     561 156,    3 060 576,    4 000 247,     532 031,    4 532 278
,2013,     420 800,     706 551,    3 551 283,    4 678 633,     662 217,    5 340 850
,2014,     372 108,     763 896,    4 059 983,    5 195 988,     678 959,    5 874 947
,2015,     439 543,     782 982,    4 778 042,    6 000 567,     809 269,    6 809 836
,2016,     433 328,     859 548,    5 461 210,    6 754 086,     909 681,    7 663 767
,2017,     581 186,    1 128 367,    6 545 755,    8 255 309,    1 061 348,    9 316 657
,,,,,,,
Siirt,2004,     107 450,     121 544,     506 245,     735 239,     106 096,     841 335
,2005,     147 103,     159 389,     589 120,     895 612,     129 997,    1 025 609
,2006,     165 219,     197 257,     699 031,    1 061 506,     152 206,    1 213 712
,2007,     156 814,     219 374,     796 816,    1 173 004,     150 643,    1 323 646
,2008,     161 562,     291 607,     914 423,    1 367 591,     168 538,    1 536 130
,2009,     316 139,     266 453,    1 001 513,    1 584 106,     192 190,    1 776 295
,2010,     418 932,     343 213,    1 149 486,    1 911 630,     262 597,    2 174 228
,2011,     481 534,     487 015,    1 358 037,    2 326 586,     318 219,    2 644 805
,2012,     522 258,     555 658,    1 625 958,    2 703 874,     359 614,    3 063 488
,2013,     542 182,     704 969,    1 814 687,    3 061 838,     433 375,    3 495 212
,2014,     582 858,     772 891,    2 065 739,    3 421 488,     447 085,    3 868 573
,2015,     565 909,     778 800,    2 330 920,    3 675 629,     495 715,    4 171 344
,2016,     536 195,     806 546,    2 748 335,    4 091 077,     551 011,    4 642 088
,2017,     648 073,     907 419,    3 205 190,    4 760 682,     612 060,    5 372 742
